test_num,passage_num,question,correct_context_index
2,3,The narrator develops the third paragraph (lines 19—29) mainly through:,1
2,3,  The narrator indicates that one reason she did not wake her sister Amy when “something” came  into their room was because:,0
2,3,  It can reasonably  be inferred  from the passage  that the narrator  regards  her initial  discovery  of  the truth about the object entering her bedroom as:,3
2,3,"  It can most reasonably  be inferred that for the narrator, the  image  of  the  diver   bursting  through  “the  ocean's sparkling membrane”  (line 52) symbolizes  her:",4
2,3,"  As  it  is  used  in  line  87,  the  phrase  “a  show  in  light” most nearly  refers to:",1
2,3,  The  narrator  uses  the images  in  lines  3—5  primarily  to depict the interior life's  tendency  to engage in:,1
2,3,Which  of  the  following  statements  best  paraphrases lines 5—8?,3
2,3,"  By  her  statements  in  lines  77—80,  the  narrator  is  most nearly  asserting that:",1
2,4,  Which  of  the foil owing  conclusions  about new theories in science can reasonably  be drawn  from  the passage?,2
2,4,  Which  of  the  following  best  describes  how  Frank’ s colleagues  perceived  him  after   he  first  presented  the small-comet  theory?,2
2,4,"  The   passage   indicates   that   at  the  time  Frank   and Sigwarth presented  new evidence  supporting  the small- comet theory, Frank most nearly felt:",4
2,4,The author  uses the fourth  paragraph  (lines 27-33) pri- marily  to:,2
2,4,"  According  to  the  passage,  the  research  that  led  to  the development  of  the   small-comet  theory  began  with  a project originally  intended  to study:",2
2,4,  The  main  function  of  lines  64-66  in  terms  of  the eighth  paragraph  (lines 59—66)  as  a whole is to:,1
2,4,"  It  can  reasonably  be  inferred  from  the  passage  that within  the  scientific  community   the  year  the  passage was published,  the small-comet  theory  was:",4
2,4,The  author  italicizes  the  word  something  in  line  18 most likely  to emphasize  the:,0
2,4,"  When  Richard  Zare  says  that  scientists  lead  a  “con- stant  schizophrenic  existence”   (lines  34-35),  he  most nearly  means  that they:",2
2,4,  It  can  reasonably  be  inferred  that  Frank  and  Sigwarth conducted  the study of  the  dark specks they found  with a:,1
11,1, 1 The main purpose of the first paragraph is to ,0
11,1,"2 As used in line 16, “kicks” most nearly means ",1
11,1,3 The author uses the image of an engineer at sea (lines 23-28) most likely to ,1
11,1,1 Which choice best supports the claim that Nawab performs his duties for Harouni well? ,1
11,1,"In the context of the conversation between Nawab and Harouni, Nawab’s comments in lines 43-52 (“Sir . . . beg you”) mainly serve to ",1
11,1,6 Nawab uses the word “bridegroom” (line 62) mainly to emphasize that he’s no longer ,3
11,1,It can reasonably be inferred from the passage that Harouni provides Nawab with a motorcycle mainly because ,3
11,1,1 Which choice provides the best evidence for the answer to the previous question? ,4
11,1,9 The passage states that the farm managers react to Nawab receiving a motorcycle with ,0
11,1,"10 According to the passage, what does Nawab consider to be the best result of getting the motorcycle? ",4
11,2, 1 The main purpose of the passage is to ,2
11,2,"12 According to the passage, which expectation do traditional authorities now face? ",2
11,2,13 Which choice provides the best evidence for the answer to the previous question? ,2
11,2," 14 As used in line 24, “common” most nearly means ",0
11,2,15 The authors most likely include the extended quotations in lines 43-53 to ,4
11,2,16 The authors indicate that the public is coming to believe that journalists’ reports should avoid ,4
11,2,1 Which choice provides the best evidence for the answer to the previous question? ,1
11,2,"0-77 (“There . . . own”) 18 As used in line 74, “raw” most nearly means ",2
11,2,"19 Based on the table, in which year were people the most trusting of the news media? ",2
11,2,20 Which statement is best supported by information presented in the table? ,4
11,3,fair diminished. 21 The 2011 data in the table best serve as evidence of ,2
11,3, 22 The primary purpose of the passage is to ,2
11,3,"23 As presented in the passage, Theis and Adler’s research primarily relied on which type of evidence? ",3
11,3,24 Which statement about striped cucumber beetles can most reasonably be inferred from the passage? ,1
11,3,The author indicates that it seems initially plausible that Texas gourd plants could attract more pollinators if they ,1
11,3," 1 As used in line 38, “treated” most nearly means ",4
11,3,that most directly allowed Theis to reason that “bees were repelled not by the fragrance itself” (lines 70-71)? ,2
11,3,28 Which choice provides the best evidence for the answer to the previous question? ,3
11,3,29 The primary function of the seventh and eighth paragraphs (lines 65-84) is to ,4
11,3,"1 In describing squash bees as “indifferent” (line 68), the author most likely means that they ",0
11,3,"31 According to the passage, Theis and Adler’s research offers an answer to which of the following questions? ",4
11,3,32 Which choice provides the best evidence for the answer to the previous question? ,1
11,4,"33 In Passage 1, Lincoln contends that breaking the law has which consequence? ",0
11,4,34 Which choice provides the best evidence for the answer to the previous question? ,4
11,4," 35 As used in line 24, “urge” most nearly means ",4
11,4,36 The sentence in lines 24-28 (“When . . . made”) primarily serves which function in Passage 1? ,1
11,4," 1 As used in line 32, “observed” most nearly means ",1
11,4,"38 In Passage 2, Thoreau indicates that some unjust aspects of government are ",3
11,4,39 Which choice provides the best evidence for the answer to the previous question? ,2
11,4, 1 The primary purpose of each passage is to ,2
11,4,"Based on the passages, Lincoln would most likely describe the behavior that Thoreau recommends in lines 64-66 (“if it . . . law”) as ",1
11,4,"Based on the passages, one commonality in the stances Lincoln and Thoreau take toward abolitionism is that ",4
11,5, 1 The passage is written from the point of view of a ,2
11,5,"technology. 44 As used in line 4, “poor” most nearly means ",0
11,5,It can most reasonably be inferred from the passage that many people in the solar panel industry believe that ,3
11,5,46 Which choice provides the best evidence for the answer to the previous question? ,1
11,5,"47 According to the passage, two-sided solar panels will likely raise efficiency by ",3
11,5,48 Which choice provides the best evidence for the answer to the previous question? ,3
11,5," 1 As used in line 69, “betting on” most nearly means ",1
11,5,50 The last sentence of the passage mainly serves to ,4
11,5,"According to figure 1, in 2017, the cost of which of the following fuels is projected to be closest to the 2009 US average electricity cost shown in figure 2? ",3
11,5,"According to figure 2, in what year is the average cost of solar photovoltaic power projected to be equal to the 2009 US average electricity cost? ",3
10,1,"1 Over the course of the passage, the primary focus shifts from ",2
10,1, 2 The main purpose of the first paragraph is to ,0
10,1,"3 It can reasonably be inferred that Irma, the waitress, thinks Lymie is “through eating” (line 37) because ",0
10,1,4 Lymie’s primary impression of the “party of four” (line 42) is that they ,2
10,1,5 Which choice provides the best evidence for the answer to the previous question? ,2
10,1,1 The narrator indicates that Lymie finally closes the history book because ,3
10,1,7 The primary impression created by the narrator’s description of Mr. Peters in lines 74-79 is that he is ,4
10,1, 8 The main idea of the last paragraph is that Mr. Peters ,4
10,1,1 Which choice best supports the conclusion that Mr. Peters wants to attract attention? ,2
10,1," 10 As used in line 93, “becoming” most nearly means ",4
10,2,"1 In Passage 1, Beecher makes which point about the status of women relative to that of men? ",0
10,2,12 Which choice provides the best evidence for the answer to the previous question? ,3
10,2,"13 In Passage 1, Beecher implies that women’s effect on public life is largely ",0
10,2," 14 As used in line 2, “station” most nearly means ",3
10,2," 15 As used in line 12, “peculiar” most nearly means ",0
10,2, 16 What is Grimké’s central claim in Passage 2? ,3
10,2,"17 In Passage 2, Grimké makes which point about human rights? ",3
10,2,18 Which choice provides the best evidence for the answer to the previous question? ,3
10,2,1 Which choice best states the relationship between the two passages? ,0
10,2,"20 Based on the passages, both authors would agree with which of the following claims? ",4
10,2,21 Beecher would most likely have reacted to lines 65-68 (“Now . . . woman”) of Passage 2 with ,3
10,3," 1 As used in line 14, “simple” most nearly means ",0
10,3,"23 According to the passage, a significant attribute of conventional agriculture is its ability to ",2
10,3,Which choice best reflects the perspective of the “environmentalists” (line 27) on conventional agriculture? ,3
10,3,25 Which choice provides the best evidence for the answer to the previous question? ,1
10,3,Which statement best expresses a relationship between organic farming and conventional farming that is presented in the passage? ,3
10,3,27 Which choice provides the best evidence for the answer to the previous question? ,0
10,3,"28 According to Foley, an “ideal global agriculture system” (line 80) ",4
10,3," 29 In line 88, “sheer” most nearly means ",1
10,3,1 Which statement is best supported by the information provided in figure 1? ,4
10,3,31 Which of the following claims is supported by figure 2? ,0
10,4," Over the course of the passage, the main focus shifts from a discussion of an experiment and its results to",4
10,4,33 The author of the passage suggests that crowds may be more effective at ,0
10,4,1 Which choice provides the best evidence for the answer to the previous question? ,2
10,4,35 Which choice best supports the view of the “skeptics” (line 20)? ,0
10,4,36 Which action would best address a question Watts raises about the study? ,3
10,4," 37 As used in line 85, “boost” most nearly means ",4
10,4," 1 As used in line 86, “scale” most nearly means ",1
10,4,"39 In the figure, which category of news has an artificially up-voted mean score of 2.5? ",0
10,4,showed the smallest difference in mean score between artificially up-voted comments and control comments? ,4
10,4,41 Data presented in the figure most directly support which idea from the passage? ,4
10,5,"1 According to the passage, Maguire’s findings regarding taxi drivers are significant because they ",1
10,5,43 Which choice provides the best evidence for the answer to the previous question? ,1
10,5," 44 As used in line 24, “basic” most nearly means ",1
10,5,45 Which question was Maguire’s study of mental athletes primarily intended to answer? ,3
10,5,46 Which choice provides the best evidence for the answer to the previous question? ,2
10,5," 1 As used in line 39, “matched” most nearly means ",2
10,5,48 The main purpose of the fifth paragraph (lines 57-65) is to ,3
10,5,"According to the passage, when compared to mental athletes, the individuals in the control group in Maguire’s second study ",4
10,5,50 The passage most strongly suggests that mental athletes are successful at memorization because they ,3
10,5,1 Which choice provides the best evidence for the answer to the previous question? ,3
10,5,1 52 The questions in lines 74-78 primarily serve to ,4
6,1,The  narrator  of  the  passage  can  best  be  described  as  a swimmer  who primarily:,0
6,1,  Which  of  the  following  events  mentioned  in  the  pas- sage happened first  chronologically?,3
6,1,  The  narrator  describes  the  natatorium  as  being  nearly empty  of spectators  the day of   his race in order  to:,0
6,1,"The  narrator  indicates  that  when  he  swam  the  1,000- yard   freestyle   in  the  time   trials,   the  world,  for   a moment,  seemed  to:",2
6,1,"  The  passage  indicates  that  during  the  narrator's  swim at the time trial, he understood   for the first time that:",4
6,1,"Based  on  the  passage,  the  “end”  the  narrator  mentions in line 80 most likely  refers to  his:",3
6,1,The narrator  of  the  passage  characterizes  the time  trial in Houston  as:,0
6,1,"The  statement “That's  where  you're  going,  now  hurry up”  (lines  35—36)  can  most   directly  be  attributed  to the:",2
6,1,"   For  the  narrator,  compared  to  practicing  in  the outdoor pool, practicing  in  the  indoor  pool is:",3
6,1,"When  the  narrator  heard  “Jump!”  in  his  mind  while swimming  (line 67), he was most  likely  remembering:",2
6,2,"The  author's  use  of  the  words  and  phrases  “thickets,” “stretching  in  every   direction,”  and  “extensive  forest” (lines  6-7)  in Passage  A  most  nearly  serves  to  empha-  size which of  the following  points?",0
6,2,  The  author  of  Pass age  A  most  likely  states  that  the wild  apples  growing  in  the   Tian  Shan  looked  like apples  found  at  the  local  grocery  store  to  support  the point  that:,1
6,2,Passage A  makes  which  of  the  following  claims  about plant species  that are found in   Kazakhstan?,0
6,2,  Passage  B  most  strongly  suggests  that  Vavilov  was motivated  to become  an   agricultural  scientist  primarily because  he:,4
6,2,The  author   of   Passage  B   uses  the   phrase   “whittle away”  (line 80)  to  refer  to   the  way  that  apple  varieties have been:,0
6,2,"As it is used in lines 82-83, the phrase named  and  nur- tured  most nearly  means:",4
6,2,"In  Passage B,  it  can  most  reasonably  be  inferred  from the  third  paragraph  (lines   74-79)  that  “centers  of  crop diversity”  become crucially  important  when:",0
6,2,  Which  of  the  following  statements  best  describes  the difference in the tone of  the two  passages?,4
6,2,"  Compared  to  the  author  of  Passage  A,  the  author  of Passage B provides more  information  about the:",4
6,2,Passage A quotes  Vavilov  as  saying  “‘I  could  see  with my  own  eyes  that  I  had   stumbled  upon  the  centre  of origin  for  the  apple”’  (lines  l 1—12).  In  Passage B  this  quote is directly:,0
6,2,"  Based  on  the  passage,  how  did  Berry's  personality affect his career?",0
6,3,"  The  author  mentions  Berry’s  solo  in  “Oh,  Lady  Be Good” primarily  in order to:",1
6,3,  The  author  points  out  that  many  serious  jazz  enthusi- asts know  little about Berry   primarily  in order to:,3
6,3,"  According  to  the  author,  Berry’s  solos  as  a  recording- session  musician  were often  very short  because  he:",3
6,3,"  The  author  indicates  that  during  Berry's  time  as  a musician, swing music  was  primarily  regarded  as:",1
6,3,"As  it  is  used  in  line  35,  the  word  court  most  nearly means  to:",0
6,3,"In  the  seventh  paragraph  (lines  57-75),  the  author compares  sidemen  to traveling   salesmen  in order to:",3
6,3,The  author  describes  Henderson's  “Blues  in  C  Sharp Minor”  as:,0
6,3,"According  to the author,  what  is unique  about  the June 1940 rendition of  the song “A  Ghost of  a Chance”?",3
6,3,The  author  uses  the  phrase  “a  cathedral  of  a  solo” (line 85) most  likely  to create   a sense that Berry's  solo was:,0
6,3,Which  of  the  following  statements  best  expresses  the main idea of  the passage?,2
6,4,It  can  reasonably   be  inferred  that  the  problem  the author  mentions  in line 33  refers to:,0
6,4,It can  reasonably  be inferred  from  the  passage  that  the small satellite galaxy   referred  to in lines 35-36 is:,4
6,4,"  Based  on  the  passage,  which  of  the  following  state- ments  best  describes  Bailin's   study  as  it  relates  to  the field ot  astronomy?",0
6,4,"  According  to  the  passage,  Bailin  discovered  that  the angular  momentum  of  the warped   portion  of  the Milky Way  and  the  angular  momentum  of  the  Sagittarius Dwarf  are:",3
6,4,"  According  to  the  passage,  the  central  bulge  of  the Milky  Way  is comprised  of:",3
6,4,The author  refers  to  the swirling  pattern  of  a hurricane primarily  in order to:,1
6,4,The passage directly  compares the Milky  Way’s disk as it is affected  by its warp to:,1
6,4,"  According  to the passage, which of the following  state- ments  best  describes  the   movement  of  the  Sagittarius Dwarf  with respect  to the Milky  Way?",0
12,1,1 Which choice best describes a major theme of the passage? ,1
12,1,"2 As compared with Silas’s gold, Eppie is portrayed as having more ",1
12,1,Which statement best describes a technique the narrator uses to represent Silas’s character before he adopted Eppie? ,0
12,1,4 The narrator uses the phrase “making trial of everything” (line 7) to present Eppie as ,2
12,1,"5 According to the narrator, one consequence of Silas adopting Eppie is that he ",1
12,1,1 Which choice provides the best evidence for the answer to the previous question? ,1
12,1,7 What function does the second paragraph (lines 30-52) serve in the passage as a whole? ,2
12,1,"In describing the relationship between Eppie and Silas, the narrator draws a connection between Eppie’s ",4
12,1,9 Which choice provides the best evidence for the answer to the previous question? ,4
12,1," 10 As used in line 65, “fine” most nearly means ",4
12,2, 1 The main purpose of the passage is to ,2
12,2,"According to Brynjolfsson and McAfee, advancements in technology since approximately the year 2000 have resulted in ",0
12,2,13 Which choice provides the best evidence for the answer to the previous question? ,2
12,2,14 The primary purpose of lines 26-28 (“the amount . . . labor”) is to ,3
12,2," 15 As used in line 35, “clear” most nearly means ",0
12,2,Which of the following best characterizes Katz’s attitude toward “today’s digital technologies” (lines 81-82)? ,4
12,2,1 Which choice provides the best evidence for the answer to the previous question? ,4
12,2," 18 As used in line 83, “range” most nearly means ",4
12,2,"According to figure 1, which of the following years showed the widest gap between percentages of productivity and employment? ",1
12,2, 20 Which statement is supported by figure 2? ,3
12,2,"Which additional information, if presented in figure 2, would be most useful in evaluating the statement in lines 57-60 (“Productivity . . . jobs”)? ",2
12,3, 22 The main purpose of the passage is to ,2
12,3,The author includes the quotation “Air gets pretty unpredictable behind a flapping wing” (lines 17-18) to ,2
12,3,What can reasonably be inferred about the reason Usherwood used northern bald ibises as the subjects of his study? ,1
12,3,25 Which choice provides the best evidence for the answer to the previous question? ,1
12,3,26 What is the most likely reason the author includes the 30 cm measurement in line 30? ,1
12,3,"27 What does the author imply about pelicans, storks, and geese flying in a V formation? ",1
12,3,28 Which choice provides the best evidence for the answer to the previous question? ,4
12,3,1 What is a main idea of the seventh paragraph (lines 62-73)? ,0
12,3,30 The author uses the phrase “aerodynamic sweet spot” in line 63 most likely to ,4
12,3," 31 As used in line 72, “ripple” most nearly means ",4
12,4," 32 As used in line 9, “raise” most nearly means ",3
12,4,"In Passage 1, Tocqueville implies that treatment of men and women as identical in nature would have which consequence? ",1
12,4,34 Which choice provides the best evidence for the answer to the previous question? ,1
12,4," 35 As used in line 53, “dominion” most nearly means ",2
12,4,"36 In Passage 2, Mill most strongly suggests that gender roles are resistant to change because they ",3
12,4,37 Which choice provides the best evidence for the answer to the previous question? ,2
12,4,38 Both authors would most likely agree that the changes in gender roles that they describe would be ,0
12,4,Tocqueville in Passage 1 would most likely characterize the position taken by Mill in lines 65-69 in Passage 2 (“Let . . . them”) as ,1
12,4,Which choice best describes the ways that the two authors conceive of the individual’s proper position in society? ,2
12,4,"the application of the “great principle of political economy” (lines 38-39, Passage 1) to gender roles has which effect? ",4
12,5," Over the course of the passage, the main focus shifts from ",2
12,5,43 The main purpose of the analogy of the ping-pong ball (line 40) is to ,0
12,5,The author most strongly suggests that the reason the scientific community initially rejected Higgs’s idea was that the idea ,4
12,5,45 Which choice provides the best evidence for the answer to the previous question? ,0
12,5,1 The author notes that one reason Higgs’s theory gained acceptance was that it ,3
12,5,47 Which choice provides the best evidence for the answer to the previous question? ,3
12,5,Which statement best describes the technique the author uses to advance the main point of the last paragraph? ,4
12,5," 49 As used in line 77, “established” most nearly means ",4
12,5,50 What purpose does the graph serve in relation to the passage as a whole? ,4
12,5, Which statement is best supported by the data presented in the graph? ,4
12,5,"Based on the graph, the author’s depiction of Higgs’s theory in the mid-1980s is most analogous to which hypothetical situation? ",4
3,1,   Which  of  the following  best  describes  the structure  of the passage?,4
3,1,"  Based  on  the  passage,  which  of  the  following  state- ments  best  describes  the   overall  attitudes  of  the  narra- tor and the woman?",3
3,1,   It can  reasonably  be inferred  from the  passage  that the woman  most strongly desires to  attain  which of  the fol- lowing qualities from dreaming?,0
3,1,"  Throughout  the  passage,  the image  of  the  door  is  used primarily  as a metaphor for the  boundary  between:",2
3,1,"   In relation to the first paragraph's earlier description  of the  nightmare,  the  narrator's   comments  in  lines  10-13 primarily  serve to:",0
3,1,  Which  of  the  following  statements  about  the  amniotic dream is best supported by the  passage?,4
3,1,"   According  to the  passage,  one  of  the woman's  worries about her present  situation  is  that she:",3
3,1,"   Based on the narrator's account, the woman's  approach to dreaming  the narrator's dreams is  best described  as:",0
3,1,"  As  it  is  used  in  line  58,  the  word  humor  most  nearly means:",3
3,1,"  In  the  passage,  the  narrator   most  nearly  describes Kafka as someone  who:",3
3,2,  The  author  most  nearly  characterizes  the  role  of  cli - mate change in the course of   history  as one that:,3
3,2,The  main  idea  of  the  first  paragraph  is  that  the  Little Ice  Age:,0
3,2,  The  author  uses  the  remark  “the  worst  rain  storm  in memory”  (line 28) primarily  as  an example  of:,2
3,2,  The  author  indicates  that  the  common  factor  in  the events and periods listed in lines  50—54 is that they:,2
3,2,"  By his statement in lines 71-75, the author most nearly means that during the Little Ice Age:",4
3,2,The  author  uses  the  events  listed  in  lines  77—79  pri- marily  to:,0
3,2,  The  author  cites  all  of  the  following  as  causes  of  the European   food   crises    during   the   Little   Ice   Age EXCEPT:,0
3,2,The  author  calls  the  interactions  that  produced  the Little Ice Age climate shifts:,2
3,2,Which of  the following  is NOT listed in the passage  as an element of the Little Ice Age?,4
3,2,The author calls which of  the following  an anomaly?,1
3,3,Which  of  the  tollowin g  statements  best  expresses  the main idea ot  the passage?,3
3,3,  Which  of  the following  questions  is  NOT  answered  in the passage?,3
3,3,The  passage  suggests  that Armstrong’s  most  important contribution  to jazz was his:,1
3,3,The  main  function  of   the  second   paragraph   (lines 20-29) is to:,2
3,3,  All  of  the  following  details  are  used  in  the  passage  to demonstrate  Armstrong’s   endurance  as  a  young  musi- cian EXCEPT  that he:,1
3,3,The  last  paragraph  establishes  all  of  the  following about  Armstrong EXCEPT:,2
3,3,"  One  of  the  main  points  in  the  last  paragraph  is  that through  his  music,  Armstrong   attempted  to  promote  in his listeners  a sense of:",4
3,3,"  According  to the passage, which of  the following  cities is the last one Armstrong  is said  to have lived in?",3
3,3,The  author  most  likely  includes  the  information  in lines 53—57  to suggest:,3
3,3,  Which  of  the  following  words  best  describes  how  the orchestra   referred   to  in    the  fifth   paragraph   (lines 58-71) is said to have started  to swing?,1
3,4,  The  passage  mentions  that  the  onset  of  illness  would be caused  by any of  the  following EXCEPT:,2
3,4,"  According  to the fifth  paragraph  (lines  35—45),  studies have  shown  that  the  insertion   of  acupuncture  needles into acupoints causes nerve stimulation  that results in:",2
3,4,  The  studies  of  acupuncture  described  in  the fifth  para- graph  (lines  35—45)  can   best  explain  the  success  of acupuncture   in   treating   which   of   the   following  conditions?,3
3,4,"  According  to  the  passage,  the  study  by  Cho  showed that   volunteers   experienced   an    increase   in   visual cortex  activity  when  they:",4
3,4,  Information   in   the   last   paragraph   indicates   that acupuncture  research  has given  results that:,0
3,4,  The passage indicates  that the balance between  yin and yang in a person depends on that  person's:,0
3,4,"  According  to the  passage,  a person  with  a  yang  condi- tion  might exhibit all of  the  following EXCEPT:",4
3,4,"  As  it  is  used  in  line  49,  the  word  concentrated  most nearly  means:",0
3,4,"  According  to the passage,  Cho  would  have determined that  volunteers  had  experienced  a   placebo  effect  if which   of   the   following    procedures    had   created increased  activity  in the visual cortex  of  the brain?",3
3,4,"  In  the  last  paragraph,  the  author  expresses  the  belief that  scientists  who  open  a   new  line  of  research  on  a topic are likely  to:",0
4,1,The  point  of  view  from  which  the  passage  is  told  is best described  as that of:,3
4,1,The  passage  contains  recurring  references  to all  of  the following EXCEPT:,1
4,1,  The  first  three  paragraphs  (lines  1—21)  establish  all of the following  about the  narrator EXCEPT  that she is:,4
4,1,  It can  reasonably  be inferred  from the  passage  that the narrator  thinks her hometown   has:,1
4,1,"   Based  on  the  narrator's  account,  all  of  the  following were  part  of  the  past,   rather  than  the  present,  in  her hometown  EXCEPT:",4
4,1,"   According  to the narrator,  which  of  the following  busi- nesses is relatively  new to her  hometown?",2
4,1,"  When  the  narrator  refers  to  the  cosmonaut  as  “a  man without  a  country”  (lines   83—84),  she  is  most  likely directly  referring to the:",4
4,1,   Details  in  the  passage  most  strongly  suggest  that  the people meeting the narrator at  the train station include:,0
4,1,  The narrator  indicates  that  the most  significant  change to her hometown  has been the  addition of:,1
4,1,"  According  to  the  passage,  news  reports  attributed  the cosmonaut's  knees buckling  to:",0
4,2,  Which  of  the  foil owing  assumptions  would  be  most critical  for  a  reader  to  accept   in  order  to  agree  fully with  the author's claims in  the passage?,0
4,2,"  In  the  context  of  the  passage,  the  statement  “All  the guitars  are  made  from   certified  wood”  (lines  34—35) most nearly suggests  that Gomes’s  workshop:",0
4,2,"  It  can  most  reasonably  be  inferred  from  the  passage that regarding  OELA,  the author  feels:",4
4,2,The main purpose of the second paragraph (lines 6—18) is to:,0
4,2,The  main  function  of  the fifth  paragraph  (lines  33-53) is to:,4
4,2,   The passage notes all of  the following  as problems  that the  fledgling  Amazon  guitar   industry  has  experienced EXCEPT that:,2
4,2,"  The  passage  indicates  that,  as  a  group,  the  OELA  stu- dents  may  impact  the   survival   of   the  rain  forests because  most of  them:",0
4,2,"  In the passage, Gomes indicates that of  the wood cut in the  Amazon  rain  forest  each   year,  approximately  how much wood is wasted?",0
4,2,  The  passage  states  that  all  of  the following  are  woods traditionally   used  for   making  stringed  instruments EXCEPT:,1
4,2,"  According  to  the  passage,  when  an  OELA  student  is “adopted,”  he or she receives:",0
4,3,  The  passage  is  best  described  as  being  told  from  the point of  view of  a philosopher   who is:,2
4,3,"  Based on the passage, which of  the following  was most likely   the   first   to  engage    the   author's   passionate interest?",2
4,3,The main purpose of the last paragraph is to:,3
4,3,The  passage  indicates  that  the  man  in  the  book-cover photograph  represents:,2
4,3,"  The  author  mentions  Melod y  Maker,  the  top  20,  and articles about musicians  primarily  to suggest that his:",2
4,3,"  In  the  third  paragraph  (lines  36-56),  the  author  most nearly characterizes  the energy   he refers to as:",1
4,3,"  Viewed  in  the context  of  the  passage,  the statement  in lines 55—56 is most likely  intended to suggest that:",3
4,3,  The  author  calls  pen  and  paper  “rudimentary  tools” (line 80) as part of his argument   that:,4
4,3,"  In  the  context  of  the  passage,  lines  17—23  are  best described  as presenting  images  of:",0
4,3,  Which of  the following  does NOT reasonably  describe the transition  the author presents in  lines 80—84?,0
4,4,One  of  the  main  ideas  established  by  the  passage  is that:,1
4,4,  Learning  about  which  of  the  following  had  the  largest impact  on  scientists'  current   understanding  of  where eels breed?,3
4,4,The   main   purpose   of   the   fourth   paragraph is to describe  the:,3
4,4,The passage states that the Sargasso Sea is set off from the rest of  the Atlantic  Ocean by:,3
4,4,The passage notes  that the Sargasso Sea includes:,2
4,4,"  As it  is  used  in  line  13,  the  word  popular  most  nearly means:",1
4,4,"  As  it  is  used  in  line  45,  the  word  read  most  nearly means to:",0
4,4,The  passage  indicates that  female  eels'  pupils  expand (lines 34—47) and turn blue because the eels:,0
4,4,  The passage  most strongly  emphasizes  that the process of osmosis is necessary for the eels'   transition from:,3
4,4,"  According  to the passage, which of  the following  char- acteristics of  the eel larvae found  by Schmidt  provided the  best  evidence  that  the  larvae  were  hatched  in  the Sargasso Sea?",1
8,1,1 Which choice best describes what happens in the passage? ,3
8,1,2 Which choice best describes the developmental pattern of the passage? ,1
8,1,"3 As used in line 1 and line 65, “directly” most nearly means ",3
8,1, 4 Which reaction does Akira most fear from Chie? ,3
8,1,1 Which choice provides the best evidence for the answer to the previous question? ,4
8,1," 6 In the passage, Akira addresses Chie with ",3
8,1, 7 The main purpose of the first paragraph is to ,0
8,1," 8 As used in line 2, “form” most nearly means ",0
8,1,9 Why does Akira say his meeting with Chie is “a matter of urgency” (line 32)? ,2
8,1,10 Which choice provides the best evidence for the answer to the previous question? ,0
8,2,11 The authors most likely use the examples in lines 1-9 of the passage (“Every . . . showers”) to highlight the ,0
8,2," 12 In line 10, the word “ambivalent” most nearly means ",0
8,2,13 The authors indicate that people value gift-giving because they feel it ,0
8,2,14 Which choice provides the best evidence for the answer to the previous question? ,0
8,2,The “social psychologists” mentioned in paragraph 2 (lines 17-34) would likely describe the “deadweight loss” phenomenon as ,2
8,2,16 The passage indicates that the assumption made by gift-givers in lines 41-44 may be ,2
8,2,17 Which choice provides the best evidence for the answer to the previous question? ,0
8,2," 18 As it is used in line 54, “convey” most nearly means ",0
